Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Winner_Points
"Wed, Nov 1, 2017",Sacramento Kings,86,Boston Celtics,113,113
"Wed, Nov 1, 2017",Milwaukee Bucks,121,Charlotte Hornets,126,126
"Wed, Nov 1, 2017",Indiana Pacers,124,Cleveland Cavaliers,107,124
"Wed, Nov 1, 2017",Toronto Raptors,111,Denver Nuggets,129,129
"Wed, Nov 1, 2017",Dallas Mavericks,98,Los Angeles Clippers,119,119
"Wed, Nov 1, 2017",Orlando Magic,101,Memphis Grizzlies,99,101
"Wed, Nov 1, 2017",Chicago Bulls,91,Miami Heat,97,97
"Wed, Nov 1, 2017",Minnesota Timberwolves,104,New Orleans Pelicans,98,104
"Wed, Nov 1, 2017",Houston Rockets,119,New York Knicks,97,119
"Wed, Nov 1, 2017",Atlanta Hawks,109,Philadelphia 76ers,119,119
"Wed, Nov 1, 2017",Portland Trail Blazers,103,Utah Jazz,112,112
"Wed, Nov 1, 2017",Phoenix Suns,122,Washington Wizards,116,122
"Thu, Nov 2, 2017",Los Angeles Lakers,110,Portland Trail Blazers,113,113
"Thu, Nov 2, 2017",Golden State Warriors,112,San Antonio Spurs,92,112
"Fri, Nov 3, 2017",Houston Rockets,119,Atlanta Hawks,104,119
"Fri, Nov 3, 2017",New Orleans Pelicans,99,Dallas Mavericks,94,99
"Fri, Nov 3, 2017",Miami Heat,94,Denver Nuggets,95,95
"Fri, Nov 3, 2017",Milwaukee Bucks,96,Detroit Pistons,105,105
"Fri, Nov 3, 2017",Brooklyn Nets,112,Los Angeles Lakers,124,124
"Fri, Nov 3, 2017",Phoenix Suns,107,New York Knicks,120,120
"Fri, Nov 3, 2017",Boston Celtics,101,Oklahoma City Thunder,94,101
"Fri, Nov 3, 2017",Chicago Bulls,105,Orlando Magic,83,105
"Fri, Nov 3, 2017",Indiana Pacers,110,Philadelphia 76ers,121,121
"Fri, Nov 3, 2017",Charlotte Hornets,101,San Antonio Spurs,108,108
"Fri, Nov 3, 2017",Toronto Raptors,109,Utah Jazz,100,109
"Fri, Nov 3, 2017",Cleveland Cavaliers,130,Washington Wizards,122,130
"Sat, Nov 4, 2017",New Orleans Pelicans,96,Chicago Bulls,90,96
"Sat, Nov 4, 2017",Golden State Warriors,127,Denver Nuggets,108,127
"Sat, Nov 4, 2017",Sacramento Kings,99,Detroit Pistons,108,108
"Sat, Nov 4, 2017",Memphis Grizzlies,113,Los Angeles Clippers,104,113
